Subfamily	Genus	Species	Subspecies	Author Date
Myrmicinae	Cyphomyrmex	cornutus		Kempf, 1968
Myrmicinae	Cyphomyrmex	longiscapus_cf		null
Myrmicinae	Dacatria	templaris		Rigato, 1994
Myrmicinae	Dacetinops	ignotus_cf		null
Myrmicinae	Daceton	armigerum		(Latreille, 1802)
Myrmicinae	Diaphoromyrma	sofiae		Fernández, Delabie & Nascimento, 2009
Myrmicinae	Dicroaspis	km01		null
Myrmicinae	Dilobocondyla	borneensis_cf		null
Myrmicinae	Dilobocondyla	my01		null
Myrmicinae	Diplomorium	longipenne		Mayr, 1901
Myrmicinae	Dolopomyrmex	pilatus		Cover & Deyrup, 2007
Myrmicinae	Epelysidris	brocha		Bolton, 1987
Myrmicinae	Epopostruma	monstrosa		Viehmeyer, 1925
Myrmicinae	Erromyrma	latinodis		(Mayr, 1872)
Myrmicinae	Eurhopalothrix	australis		Brown & Kempf, 1960
Myrmicinae	Eurhopalothrix	gravis		(Mann, 1922)
Myrmicinae	Eutetramorium	mocquerysi		Emery, 1899
Myrmicinae	Formicoxenus	diversipilosus		(Smith, 1939)
Myrmicinae	Gauromyrmex	acanthinus		(Karavaiev, 1935)
Myrmicinae	Gauromyrmex	my01		null
Myrmicinae	Goniomma	blanci		(André, 1881)
Myrmicinae	Harpagoxenus	sublaevis		(Nylander, 1849)
Myrmicinae	Huberia	brounii		Forel, 1895
Myrmicinae	Hylomyrma	blandiens		Kempf, 1961
Myrmicinae	Kalathomyrmex	emeryi		(Forel, 1907)
Myrmicinae	Kartidris	sparsipila		Xu, 1999
Myrmicinae	Kempfidris	inusualis		(Fernández, 2007)
Myrmicinae	Lachnomyrmex	scrobiculatus		Wheeler, 1910
Myrmicinae	Lenomyrmex	colwelli		Longino, 2006
Myrmicinae	Leptothorax	muscorum_complex		null
Myrmicinae	Liomyrmex	gestroi		(Emery, 1887)
Myrmicinae	Lophomyrmex	ambiguus		Rigato, 1994
Myrmicinae	Lordomyrma	bhutanensis_cf		null
Myrmicinae	Lordomyrma	desupra		Sarnat, 2006
Myrmicinae	Malagidris	belti		(Forel, 1895)
Myrmicinae	Malagidris	jugum		Bolton & Fisher, 2014
Myrmicinae	Manica	bradleyi		(Wheeler, 1909)
Myrmicinae	Manica	rubida		(Latreille, 1802)
Myrmicinae	Mayriella	ebbei		Shattuck & Barnett, 2007
Myrmicinae	Megalomyrmex	silvestrii		Wheeler, 1909
Myrmicinae	Melissotarsus	insularis		Santschi, 1911
Myrmicinae	Meranoplus	castaneus		Smith, 1857
Myrmicinae	Meranoplus	radamae		Forel, 1891
Myrmicinae	Mesostruma	browni		Taylor, 1962
Myrmicinae	Messor	denticornis		Forel, 1910
Myrmicinae	Messor	wasmanni		Krausse, 1910
Myrmicinae	Metapone	madagascarica		Gregg, 1958
Myrmicinae	Metapone	pg01		null
Myrmicinae	Microdaceton	tibialis		Weber, 1952
Myrmicinae	Monomorium	antarcticum		(Smith, 1858)
Myrmicinae	Monomorium	denticulatum		Mayr, 1887
Myrmicinae	Monomorium	ergatogyna		Wheeler, 1904
Myrmicinae	Monomorium	exiguum		Forel, 1894
Myrmicinae	Monomorium	fieldi_nr		null
Myrmicinae	Monomorium	hanneli		Forel, 1907
Myrmicinae	Monomorium	madecassum		Forel, 1892
Myrmicinae	Monomorium	mg04		null
Myrmicinae	Monomorium	pg02		null
Myrmicinae	Monomorium	pharaonis		(Linnaeus, 1758)
Myrmicinae	Monomorium	pharaonis_cf1		null
Myrmicinae	Myrmecina	americana		Emery, 1895
Myrmicinae	Myrmecina	graminicola		(Latreille, 1802)
Myrmicinae	Myrmecina	pg01		null
Myrmicinae	Myrmica	kotokui		Forel, 1911
Myrmicinae	Myrmica	rugiventris		(Smith, 1943)
Myrmicinae	Myrmica	striolagaster_nr		null
Myrmicinae	Myrmica	tahoensis		Weber, 1948
Myrmicinae	Myrmicaria	carinata		(Smith, 1857)
Myrmicinae	Myrmicaria	exigua		André, 1890
Myrmicinae	Myrmicocrypta	infuscata_cf		null
Myrmicinae	Nesomyrmex	brunneus		Csosz & Fisher, 2016
Myrmicinae	Nesomyrmex	echinatinodis		(Forel, 1886)
Myrmicinae	Nesomyrmex	hafahafa		Csosz & Fisher, 2015
Myrmicinae	Nesomyrmex	madecassus		(Forel, 1892)
Myrmicinae	Nesomyrmex	wilda		(Smith, 1943)
Myrmicinae	Novomessor	albisetosus		(Mayr, 1886)
Myrmicinae	Ochetomyrmex	neopolitus		Fernández, 2003
Myrmicinae	Ochetomyrmex	semipolitus		Mayr, 1878
Myrmicinae	Octostruma	stenoscapa		Palacio, 1997
Myrmicinae	Ocymyrmex	fortior_cf		null
Myrmicinae	Orectognathus	versicolor		Donisthorpe, 1940
Myrmicinae	Oxyepoecus	vezenyii		(Forel, 1907)
Myrmicinae	Oxyopomyrmex	laevibus		Salata & Borowiec, 2015
Myrmicinae	Paratopula	th01		null
Myrmicinae	Patagonomyrmex	angustus		(Mayr, 1870)
Myrmicinae	Perissomyrmex	snyderi		Smith, 1947
Myrmicinae	Phalacromyrmex	fugax		Kempf, 1960
Myrmicinae	Pheidole	antipodum		(Smith, 1858)
Myrmicinae	Pheidole	clydei		Gregg, 1950
Myrmicinae	Pheidole	dispar		(Forel, 1895)
Myrmicinae	Pheidole	fimbriata		Roger, 1863
Myrmicinae	Pheidole	hyatti		Emery, 1895
Myrmicinae	Pheidole	longispinosa		Forel, 1891
Myrmicinae	Pheidole	lucioccipitalis		Eguchi, 2001
Myrmicinae	Pheidole	pallidula		(Nylander, 1849)
Myrmicinae	Pheidole	rhea		Wheeler, 1908
Myrmicinae	Pilotrochus	besmerus		Brown, 1978
Myrmicinae	Podomyrma	silvicola		Smith, 1860
Myrmicinae	Poecilomyrma	myrmecodiae		Mann, 1921
Myrmicinae	Pogonomyrmex	imberbiculus		Wheeler, 1902
Myrmicinae	Pogonomyrmex	striatinodus		Fernández & Palacio, 1998
Myrmicinae	Pogonomyrmex	subdentatus		Mayr, 1870
Myrmicinae	Pogonomyrmex	vermiculatus		Emery, 1906
Myrmicinae	Pristomyrmex	orbiceps		(Santschi, 1914)
Myrmicinae	Pristomyrmex	punctatus		(Smith, 1860)
Myrmicinae	Proatta	butteli		Forel, 1912
Myrmicinae	Procryptocerus	scabriusculus		Forel, 1899
Myrmicinae	Propodilobus	pingorum		(DuBois, 2000)
Myrmicinae	Protalaridris	armata		Brown, 1980
Myrmicinae	Recurvidris	th01		null
Myrmicinae	Rhopalomastix	rothneyi		Forel, 1900
Myrmicinae	Rhopalothrix	isthmica		(Weber, 1941)
Myrmicinae	Rogeria	nevadensis		Kugler, 1994
Myrmicinae	Rogeria	stigmatica		Emery, 1897
Myrmicinae	Romblonella	scrobifera		(Emery, 1897)
Myrmicinae	Rotastruma	recava		Bolton, 1991
Myrmicinae	Rotastruma	stenoceps		Bolton, 1991
Myrmicinae	Royidris	longiseta		Bolton & Fisher, 2014
